label,fullword,nl,nq,threads,inttype,sizeof,alignedsizeof,time,len,overlap
branch,false,1,36,1,UInt128,16,16,0.000285081,4,0.9900332889206209
branch,false,2,36,1,UInt128,16,16,0.0003425,330,0.9614066706989467
branch,false,3,36,1,UInt128,16,16,0.000716598,849,0.9176962895715824
branch,false,4,36,1,UInt128,16,16,0.001625059,2125,0.8640550315239247
branch,false,5,36,1,UInt128,16,16,0.00365233,4555,0.8064246738970795
branch,false,6,36,1,UInt128,16,16,0.007851414,9714,0.7506289635061074
branch,false,7,36,1,UInt128,16,16,0.015787622,19773,0.7016881158404021
branch,false,8,36,1,UInt128,16,16,0.032026852,37928,0.6631252499384068
branch,false,9,36,1,UInt128,16,16,0.065912884,71850,0.6365792229540989
branch,false,10,36,1,UInt128,16,16,0.127541041,131508,0.622231143651101
branch,false,11,36,1,UInt128,16,16,0.256505059,237107,0.6194936557953671
branch,false,12,36,1,UInt128,16,16,0.497442476,411837,0.6277075986468155
branch,false,13,36,1,UInt128,16,16,0.896973801,690693,0.6455119017094986
branch,false,14,36,1,UInt128,16,16,1.827490351,1134771,0.6706581641849607
branch,false,15,36,1,UInt128,16,16,3.175325433,1840041,0.7003256272861234
branch,false,16,36,1,UInt128,16,16,5.25739066,3002174,0.7330658462542785
branch,false,17,36,1,UInt128,16,16,8.312224623,4916143,0.7695532989459123
branch,false,18,36,1,UInt128,16,16,14.817599956,8018742,0.8097567434114251
