label,fullword,nl,nq,threads,inttype,sizeof,alignedsizeof,time,len,overlap
fullword,true,1,36,1,UInt128,16,16,0.000317434,4,0.9900332889206209
fullword,true,2,36,1,UInt128,16,16,0.00029811,330,0.9614066706989467
fullword,true,3,36,1,UInt128,16,16,0.000680029,849,0.9176962895715824
fullword,true,4,36,1,UInt128,16,16,0.001527655,2125,0.8640550315239247
fullword,true,5,36,1,UInt128,16,16,0.003397493,4555,0.8064246738970795
fullword,true,6,36,1,UInt128,16,16,0.007116181,9714,0.7506289635061074
fullword,true,7,36,1,UInt128,16,16,0.015178578,19773,0.7016881158404021
fullword,true,8,36,1,UInt128,16,16,0.030946711,37928,0.6631252499384068
fullword,true,9,36,1,UInt128,16,16,0.063993004,71850,0.6365792229540989
fullword,true,10,36,1,UInt128,16,16,0.125619315,131508,0.622231143651101
fullword,true,11,36,1,UInt128,16,16,0.240049067,237107,0.6194936557953671
fullword,true,12,36,1,UInt128,16,16,0.467124036,411837,0.6277075986468155
fullword,true,13,36,1,UInt128,16,16,0.877497929,690693,0.6455119017094986
fullword,true,14,36,1,UInt128,16,16,1.666081732,1134771,0.6706581641849607
fullword,true,15,36,1,UInt128,16,16,3.058972529,1840041,0.7003256272861234
fullword,true,16,36,1,UInt128,16,16,4.987119818,3002174,0.7330658462542785
fullword,true,17,36,1,UInt128,16,16,8.301404898,4916143,0.7695532989459123
fullword,true,18,36,1,UInt128,16,16,14.312106798,8018742,0.8097567434114251
