label,stride,nq,nlayers,threads,inttype,sizeof,alignedsizeof,time,len,overlap
after,1,128,4,1,BitIntegers.UInt256,32,32,0.003915733,4862,0.9248454726618947
after,1,256,4,1,BitIntegers.UInt512,64,64,0.007566332,4862,0.9248454726618947
after,1,512,4,1,BitIntegers.UInt1024,128,128,0.008320316,4862,0.9248454726618947
after,1,768,4,1,PauliPropagation.UInt1536,192,192,0.012973538,4862,0.9248454726618947
after,1,896,4,1,PauliPropagation.UInt1792,224,224,0.015190041,4862,0.9248454726618947
after,1,1024,4,1,PauliPropagation.UInt2048,256,256,0.017293775,4862,0.9248454726618947
after,1,1056,4,1,PauliPropagation.UInt2112,264,272,0.019757777,4862,0.9248454726618947
after,1,1088,4,1,PauliPropagation.UInt2176,272,272,0.033166613,4862,0.9248454726618947
after,1,1280,4,1,PauliPropagation.UInt2560,320,320,0.047774795,4862,0.9248454726618947
after,1,1536,4,1,PauliPropagation.UInt3072,384,384,0.038167479,4862,0.9248454726618947
after,1,2048,4,1,PauliPropagation.UInt4096,512,512,0.047989687,4862,0.9248454726618947
after,2,128,4,1,BitIntegers.UInt256,32,32,0.002159678,4862,0.9248454726618947
after,2,256,4,1,BitIntegers.UInt512,64,64,0.00348006,4862,0.9248454726618947
after,2,512,4,1,BitIntegers.UInt1024,128,128,0.008318616,4862,0.9248454726618947
after,2,768,4,1,PauliPropagation.UInt1536,192,192,0.012779967,4862,0.9248454726618947
after,2,896,4,1,PauliPropagation.UInt1792,224,224,0.018177374,4862,0.9248454726618947
after,2,1024,4,1,PauliPropagation.UInt2048,256,256,0.022067417,4862,0.9248454726618947
after,2,1056,4,1,PauliPropagation.UInt2112,264,272,0.022328141,4862,0.9248454726618947
after,2,1088,4,1,PauliPropagation.UInt2176,272,272,0.021873579,4862,0.9248454726618947
after,2,1280,4,1,PauliPropagation.UInt2560,320,320,0.023630758,4862,0.9248454726618947
after,2,1536,4,1,PauliPropagation.UInt3072,384,384,0.032466824,4862,0.9248454726618947
after,2,2048,4,1,PauliPropagation.UInt4096,512,512,0.059957283,4862,0.9248454726618947
