label,stride,nq,nlayers,threads,inttype,sizeof,alignedsizeof,time,len,overlap
before,1,128,4,1,BitIntegers.UInt256,32,32,0.00413749,4862,0.9248454726618947
before,1,256,4,1,BitIntegers.UInt512,64,64,0.017425264,4862,0.9248454726618947
before,1,512,4,1,BitIntegers.UInt1024,128,128,0.046080666,4862,0.9248454726618947
before,1,768,4,1,PauliPropagation.UInt1536,192,192,0.103561206,4862,0.9248454726618947
before,1,896,4,1,PauliPropagation.UInt1792,224,224,0.172692991,4862,0.9248454726618947
before,1,1024,4,1,PauliPropagation.UInt2048,256,256,0.184415916,4862,0.9248454726618947
before,1,1056,4,1,PauliPropagation.UInt2112,264,272,0.669094973,4862,0.9248454726618947
before,1,1088,4,1,PauliPropagation.UInt2176,272,272,0.691439662,4862,0.9248454726618947
before,1,1280,4,1,PauliPropagation.UInt2560,320,320,0.936611622,4862,0.9248454726618947
before,1,1536,4,1,PauliPropagation.UInt3072,384,384,1.341485023,4862,0.9248454726618947
before,1,2048,4,1,PauliPropagation.UInt4096,512,512,2.357198972,4862,0.9248454726618947
before,2,128,4,1,BitIntegers.UInt256,32,32,0.003876212,4862,0.9248454726618947
before,2,256,4,1,BitIntegers.UInt512,64,64,0.012717718,4862,0.9248454726618947
before,2,512,4,1,BitIntegers.UInt1024,128,128,0.045363637,4862,0.9248454726618947
before,2,768,4,1,PauliPropagation.UInt1536,192,192,0.104250946,4862,0.9248454726618947
before,2,896,4,1,PauliPropagation.UInt1792,224,224,0.143739906,4862,0.9248454726618947
before,2,1024,4,1,PauliPropagation.UInt2048,256,256,0.18383047,4862,0.9248454726618947
before,2,1056,4,1,PauliPropagation.UInt2112,264,272,0.646458649,4862,0.9248454726618947
before,2,1088,4,1,PauliPropagation.UInt2176,272,272,0.66037752,4862,0.9248454726618947
before,2,1280,4,1,PauliPropagation.UInt2560,320,320,0.948517752,4862,0.9248454726618947
before,2,1536,4,1,PauliPropagation.UInt3072,384,384,1.338406928,4862,0.9248454726618947
before,2,2048,4,1,PauliPropagation.UInt4096,512,512,2.388326976,4862,0.9248454726618947
