nq,kind,inttype,sizeof,alignedsizeof,commutes,countweight,pauliprod,lt,xor,hash
36,current,PauliPropagation.UInt72,9,16,1.0160577746405117,0.669271913025995,0.4562859548070039,0.4247255516598764,0.45667405744970313,1.2863203056892099
36,fullword,UInt128,16,16,0.8772305063100961,0.5956533105150997,0.4550806484173126,0.36197776891499683,0.45632329753025824,10.818917410714286
40,current,PauliPropagation.UInt80,10,16,1.0211113131776148,0.6738991301847007,0.4493630441952507,0.4615807882169398,0.4530664813456111,1.291546539175664
40,fullword,UInt128,16,16,0.8589708705148297,0.5937291952279898,0.45299767666175716,0.33238687929899796,0.4523243650861865,10.811374119349889
49,current,PauliPropagation.UInt104,13,16,1.362728920303473,0.7875878354336354,0.4715069532394409,0.7848818996110636,0.4770059117359092,1.3668570540069995
49,fullword,UInt128,16,16,0.860010528564453,0.5969365733538488,0.445946439855239,0.3438802632896482,0.4503858715707806,10.807559967041016
56,current,PauliPropagation.UInt112,14,16,1.3585637301334497,0.7860192679860885,0.47825900337048,0.7907495851869937,0.4848545383762669,1.3111603063180906
56,fullword,UInt128,16,16,0.9120986585672192,0.5947944154130651,0.4571012452591297,0.3617405553589576,0.4598926921467204,10.822899409702845
64,current,UInt128,16,16,0.8776177608605586,0.5974648108849159,0.457891145702339,0.33843448055078573,0.45404864077841767,10.823283604213168
64,fullword,UInt128,16,16,0.8733107404011052,0.5917955044500842,0.4552969047567521,0.3552235207157113,0.4537760416666667,10.813013349260602
100,current,PauliPropagation.UInt200,25,32,2.022104101243362,1.2753201119175042,0.6380548507837621,0.6220440204326924,0.6383272223516341,6.315531937117429
100,fullword,BitIntegers.UInt256,32,32,1.7180488629048096,1.173975466008772,0.6011725101374128,0.655947572696283,0.6253220595322646,6.269877011014015
200,current,PauliPropagation.UInt400,50,64,2.501845983199743,1.7873084113415072,1.127361340469189,1.1221124599861212,1.159965953607669,16.344668106294016
200,fullword,PauliPropagation.UInt448,56,64,2.3372481752676793,1.742232484034757,1.1217107162099755,1.1396925184461806,1.1739776929219563,16.1896434583162
400,current,PauliPropagation.UInt800,100,112,4.4978995874279,3.62427678807315,3.590706962354228,2.056142945568282,3.6054924597482656,41.255409100619524
400,fullword,PauliPropagation.UInt832,104,112,4.330301321667521,3.4565948444320354,2.6327557503779495,2.1071592608417,2.6319873568334677,41.457315169342515
900,current,PauliPropagation.UInt1800,225,240,9.825189910043747,9.738778367836034,9.029254406042574,5.63263250825622,8.983077459501201,142.59639394856725
900,fullword,PauliPropagation.UInt1856,232,240,9.627952033851555,9.156440942135609,9.400505582258845,5.535740243260934,9.126650499516746,156.6013448986196
